2013-12-21 16:33:06 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-21 17:12:38 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-21 18:17:14 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-21 18:19:17 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-21 21:25:00 Notice: Notice (8): Undefined variable: subject in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 378]
2013-12-21 21:25:00 Notice: Notice (8): Undefined variable: replyTo in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 414]
2013-12-21 21:26:12 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-21 21:26:12 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-22 02:00:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-22 06:24:24 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-22 08:03:57 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-22 08:03:59 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
